question-word,answer-word,guess-word,label
enormously,tremendously,uniquely,correct
provisions,stipulations,stipulations,wrong
haphazardly,randomly,dangerously,wrong
prominent,conspicuous,ancient,wrong
zenith,pinnacle,completion,correct
flawed,imperfect,tiny,correct
urgently,desperately,tentatively,correct
consumed,eaten,caught,correct
advent,coming,advent,correct
concisely,succinctly,freely,correct
salutes,greetings,ceremonies,correct
solitary,alone,alert,wrong
hasten,accelerate,determine,correct
perseverance,endurance,perseverance,correct
fanciful,imaginative,familiar,correct
showed,demonstrated,published,wrong
constantly,continually,constantly,wrong
issues,subjects,subjects,wrong
furnish,supply,protect,wrong
costly,expensive,costly,correct
recognized,acknowledged,depicted,correct
spot,location,sea,correct
make,earn,print,wrong
often,frequently,definitely,correct
easygoing,relaxed,farming,correct
debate,argument,argument,wrong
narrow,thin,narrow,wrong
arranged,planned,arranged,correct
infinite,limitless,limitless,wrong
showy,striking,striking,wrong
levied,imposed,levied,correct
deftly,skillfully,prudently,wrong
distribute,circulate,distribute,wrong
discrepancies,differences,wavelengths,correct
prolific,productive,capable,wrong
unmatched,unequaled,unmatched,wrong
peculiarly,uniquely,partly,guess
hue,color,contrast,correct
hind,rear,muscular,wrong
highlight,accentuate,highlight,wrong
hastily,hurriedly,hastily,correct
temperate,mild,cold,correct
grin,smile,joke,correct
verbally,orally,orally,wrong
physician,doctor,pharmacist,wrong
essentially,basically,eagerly,correct
keen,sharp,famous,correct
situated,positioned,emptying,correct
principal,major,numerous,correct
slowly,gradually,rarely,correct
built,constructed,built,correct
tasks,jobs,customers,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,homes,wrong
wildly,furiously,abruptly,correct
hailed,acclaimed,remembered,wrong
command,mastery,command,wrong
concocted,devised,concocted,correct
prospective,potential,potential,wrong
generally,broadly,generally,wrong
sustained,prolonged,sustained,correct
perilous,dangerous,perilous,wrong
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,dissipate,correct
primarily,chiefly,cautiously,wrong
colloquial,conversational,incorrect,correct
resolved,settled,forgotten,correct
feasible,possible,possible,wrong
expeditiously,rapidly,actually,correct
percentage,proportion,proportion,wrong
terminated,ended,posed,wrong
uniform,alike,uniform,wrong
figure,solve,figure,wrong
sufficient,enough,enough,wrong
fashion,manner,fathom,wrong
marketed,sold,sweetened,wrong
bigger,larger,steadier,wrong
roots,origins,roots,correct
normally,ordinarily,haltingly,correct
